ID;Longitud del entorno;Ancho del entorno;Núm_Obstáculos;Núm_hormigas;Iteraciones;Alpha;Beta;Rho;Núm_sub;Longitud_operativa;Longitud no operativa;Longitud total;Número de giros en operación;Número de giros No operación;Número total de giros;Tiempo total
36;100;70;1;50;20;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.79
118;100;70;4;150;150;4.0;1.5;0.6;8;1565.81;400.5;1966.31;35;13;48;5.46
108;100;70;4;150;150;1.0;1.5;0.6;11;1571.06;457.96;2029.02;31;17;48;5.5
102;100;70;3;100;100;0.5;1.5;0.6;8;1569.41;457.34;2026.75;36;15;51;5.74
124;100;70;4;150;150;1.0;2.0;0.6;12;1679.06;463.51;2142.57;36;19;55;6.0
116;100;70;4;150;150;1.0;1.5;0.6;10;1720.51;434.82;2155.33;32;15;47;5.69
127;100;70;4;150;150;1.0;3.0;0.6;12;1677.51;498.99;2176.5;36;20;56;6.09
10;100;70;1;200;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
187;100;70;4;100;150;0.5;1.5;0.5;9;1694.43;380.24;2074.67;48;12;60;5.67
101;100;70;2;100;100;4.0;1.5;0.6;7;1627.34;419.42;2046.76;31;13;44;5.39
157;100;70;0;100;100;2.0;3.0;0.1;1;1700.0;168.0;1868.0;17;1;18;4.0
142;100;70;4;150;150;1.0;1.0;0.7;12;1680.61;480.91;2161.52;36;18;54;6.0
