ID,Longitud del entorno,Ancho del entorno,Núm_Obstáculos,Núm_hormigas,Iteraciones,Alpha,Beta,Rho,Núm_sub,Longitud_operativa,Longitud no operativa,Longitud total,Número de giros en operación,Número de giros No operación,Número total de giros,Tiempo total
138,100,70,4,150,150,1,1,0.5,11,1679.06,476.74,2155.8,37,20,57,6.11
139,100,70,4,150,150,1,1,0.5,11,1679.06,476.74,2155.8,37,20,57,6.11
140,100,70,4,150,150,1,1,0.5,11,1679.06,476.74,2155.8,37,20,57,6.11
141,100,70,4,150,150,1,1,0.7,12,1680.62,480.91,2161.53,36,18,54,6.1
142,100,70,4,150,150,1,1,0.7,12,1680.61,480.91,2161.52,36,18,54,6
143,100,70,4,150,150,1,1,0.7,12,1680.61,480.95,2161.56,36,18,54,6.2
144,100,70,4,150,150,1,1,0.7,12,1680.61,480.91,2161.52,36,18,54,6
145,100,70,4,150,150,1,1,0.9,12,1680.64,480.91,2161.55,36,19,55,6.2
146,100,70,4,150,150,1,1,0.9,12,1680.61,480.91,2161.52,36,18,54,6
147,100,70,4,150,150,1,1,0.9,12,1680.64,483.91,2164.55,36,16,52,6.3
148,100,70,4,150,150,1,1,0.9,12,1680.61,480.91,2161.52,36,18,54,6
149,100,70,0,50,50,1,1,0.5,1,1700,168,1868,17,1,18,4
150,100,70,0,50,50,1,1,0.5,1,1700,168,1868,17,1,18,4
151,100,70,0,50,50,1,1,0.5,1,1700,168,1868,17,1,18,4
152,100,70,0,50,50,1,1,0.5,1,1700,168,1868,17,1,18,4
153,100,70,0,50,50,1,2,0.3,1,1700,168,1868,17,1,18,4
154,100,70,0,50,50,1,2,0.3,1,1701,168,1869,17,1,18,4
155,100,70,0,50,50,1,2,0.3,1,1700,168,1868,17,1,18,4
156,100,70,0,50,50,1,2,0.3,1,1700,168,1868,17,1,18,4
157,100,70,0,100,100,2,3,0.1,1,1700,168,1868,17,1,18,4
158,100,70,0,100,100,2,3,0.1,1,1700,168,1868,17,1,18,4
159,100,70,0,100,100,2,3,0.1,1,1700,168,1868,17,1,18,4
160,100,70,0,100,100,2,3,0.1,1,1700,168,1868,17,1,18,4
161,100,70,3,100,200,0.5,2,0.4,8,1569.41,457.31,2026.72,36,14,50,5.64
162,100,70,3,100,200,0.5,2,0.4,8,1569.41,457.31,2026.72,36,14,50,5.64
163,100,70,3,100,200,0.5,2,0.4,8,1569.41,457.31,2026.72,36,14,50,5.64
164,100,70,3,100,200,0.5,2,0.4,8,1569.41,457.31,2026.72,36,14,50,5.64
165,100,70,3,100,200,0.5,2,0.4,8,1569.41,457.31,2026.72,36,14,50,5.64
166,100,70,3,100,200,0.5,2,0.4,8,1569.41,457.31,2026.72,36,14,50,5.64
167,100,70,3,100,200,0.5,2,0.4,8,1569.41,457.31,2026.72,36,14,50,5.64
168,100,70,3,100,200,0.8,3,0.5,8,1569.41,457.31,2026.72,36,14,50,5.64
169,100,70,3,100,200,0.8,3,0.5,8,1569.41,457.31,2026.72,36,14,50,5.64
170,100,70,3,100,200,0.8,3,0.5,8,1569.41,457.31,2026.72,36,14,50,5.64
171,100,70,3,100,200,1.2,4,0.7,8,1569.41,457.31,2026.72,36,14,50,5.64
172,100,70,3,100,200,1.2,4,0.7,8,1569.41,457.31,2026.72,36,14,50,5.64
173,100,70,3,100,200,1.2,4,0.7,8,1569.41,457.31,2026.72,36,14,50,5.64
174,100,70,3,10,10,0.1,1,0.2,8,1624.41,407.17,2031.58,36,12,48,5.59
175,100,70,3,1,1,1,1,0.5,8,1606.86,599.66,2206.52,36,13,49,5.91
176,100,70,3,300,500,2.5,5,0.8,8,1569.41,457.34,2026.75,36,14,50,5.64
177,100,70,3,300,500,2.5,5,0.8,8,1569.41,457.5,2026.91,36,14,50,5.64
178,100,70,3,300,500,2.5,5,0.8,8,1569.41,457.4,2026.81,36,14,50,5.67
179,100,70,3,10,10,2,5,0.8,8,1569.41,457.34,2026.75,36,14,50,5.64
180,100,70,3,10,10,2,5,0.8,8,1569.41,457.34,2026.75,36,14,50,5.64
181,100,70,3,10,10,2,5,0.8,8,1569.41,457.34,2026.75,36,14,50,5.64
182,100,70,3,10,10,2,5,0.8,8,1569.41,457.34,2026.75,36,14,50,5.64
183,100,70,4,100,150,1,1,0.5,12,1630.06,419.38,2049.44,30,18,48,5.52
184,100,70,4,100,150,1,1,0.5,12,1630.16,419.39,2049.55,30,18,48,5.55
185,100,70,4,100,150,1,1,0.5,12,1630.06,419.38,2049.44,30,18,48,5.52
186,100,70,4,100,150,1,1,0.5,12,1630.06,419.38,2049.44,30,18,48,5.52
187,100,70,4,100,150,0.5,1.5,0.5,9,1694.43,380.24,2074.67,48,12,60,5.67
188,100,70,4,100,150,0.5,1.5,0.5,9,1694.41,380.24,2074.65,48,12,60,5.66
189,100,70,4,100,150,0.5,1.5,0.5,9,1694.41,380.24,2074.65,48,12,60,5.66
190,100,70,4,100,150,0.5,1.5,0.5,9,1694.48,380.24,2074.72,48,12,60,5.69
191,100,70,4,10,10,1,1,0.5,11,1649.61,472.93,2122.54,41,18,59,6.19
192,100,70,4,10,10,1,1,0.5,11,1649.62,472.93,2122.55,41,18,59,6.2
193,100,70,4,10,10,1,1,0.5,11,1649.61,472.93,2122.54,41,18,59,6.19
194,100,70,4,10,10,1,1,0.5,11,1649.61,472.93,2122.54,41,18,59,6.19
195,100,70,4,50,50,0.5,0.5,0.5,12,1690.56,383.83,2074.39,33,13,46,5.54
196,100,70,4,50,50,0.5,0.5,0.5,12,1690.56,383.83,2074.39,33,13,46,5.54
197,100,70,4,50,50,0.5,0.5,0.5,12,1690.56,383.83,2074.39,33,13,46,5.54
198,100,70,4,50,50,0.5,0.5,0.5,12,1690.56,383.83,2074.39,33,13,46,5.54
199,100,70,3,1,1,1,1,0.5,8,1606.89,599.65,2206.54,36,13,49,5.91
200,100,70,3,1,1,1,1,0.5,8,1606.87,599.69,2206.56,36,13,49,5.91
